fact	theory	serial	serial_max	component_count	source_file	source_line	concealed	has_skip_proof	depends_on_article_sorry
pss_mechanized.m_5_1_parent_exists_3	pss_mechanized	477138	477138	1	isabelle/pss_mechanized.thy	247	false	false	false
pss_mechanized.m_5_1_ancestor_tree_1	pss_mechanized	477158	477158	1	isabelle/pss_mechanized.thy	259	false	false	false
pss_mechanized.nextrel1_rtrancl_mono	pss_mechanized	477174	477174	1	isabelle/pss_mechanized.thy	282	false	false	false
pss_mechanized.le1_ances_aux	pss_mechanized	477250	477250	1	isabelle/pss_mechanized.thy	289	false	false	false
pss_mechanized.m_5_1_ancestor_basic_2	pss_mechanized	477352	477352	1	isabelle/pss_mechanized.thy	336	false	false	false
pss_mechanized.le0_trans	pss_mechanized	477422	477422	1	isabelle/pss_mechanized.thy	347	false	false	false
pss_mechanized.nextrel1_imp_nextrel0_rtrancl	pss_mechanized	477490	477490	1	isabelle/pss_mechanized.thy	352	false	false	false
pss_mechanized.m_le1_imp_le0	pss_mechanized	477540	477540	1	isabelle/pss_mechanized.thy	365	false	false	false
pss_mechanized.le1_build	pss_mechanized	477620	477620	1	isabelle/pss_mechanized.thy	372	false	false	false
pss_mechanized.m_5_1_parent_exists_4	pss_mechanized	477662	477662	1	isabelle/pss_mechanized.thy	420	false	false	false
pss_mechanized.m_5_1_ancestor_tree_2	pss_mechanized	477686	477686	1	isabelle/pss_mechanized.thy	438	false	false	false
pss_mechanized.take_append_map_nth	pss_mechanized	477722	477722	1	isabelle/pss_mechanized.thy	480	false	false	false
pss_mechanized.entry_pair	pss_mechanized	477764	477764	1	isabelle/pss_mechanized.thy	493	false	false	false
pss_mechanized.oper1_eq	pss_mechanized	478186	478186	1	isabelle/pss_mechanized.thy	501	false	false	false
pss_mechanized.m_5_3_pred_is_oper1	pss_mechanized	478242	478242	1	isabelle/pss_mechanized.thy	513	false	false	false
pss_mechanized.m_5_4_F_oper_dom	pss_mechanized	478312	478312	1	isabelle/pss_mechanized.thy	560	false	true	false
pss_mechanized.m_5_4_F_oper_val	pss_mechanized	478408	478408	1	isabelle/pss_mechanized.thy	580	false	false	false
pss_mechanized.Lng_IncrFirst	pss_mechanized	478456	478456	1	isabelle/pss_mechanized.thy	588	false	false	false
pss_mechanized.entry_IncrFirst	pss_mechanized	478520	478520	1	isabelle/pss_mechanized.thy	591	false	false	false
pss_mechanized.nextrel0_IncrFirst_eq	pss_mechanized	478572	478572	1	isabelle/pss_mechanized.thy	596	false	false	false
pss_mechanized.le0_IncrFirst_eq	pss_mechanized	478622	478622	1	isabelle/pss_mechanized.thy	603	false	false	false
